이름,타율,출루,장타,ops,wOBA,wRC+
안중열,0.219,0.263,0.314,0.578,0.255,36.433
나종덕,0.124,0.201,0.175,0.376,0.175,-15.1
나원탁,0.156,0.156,0.17,0.326,0.149,-31.9
이대호,0.321,0.402,0.548,0.95,0.418,153.122
채태인,0.3,0.371,0.448,0.819,0.369,114.133
한동희,0.232,0.279,0.360,0.639,0.282,55.3
전병우,0.364,0.442,0.606,1.048,0.447,163.5
문규현,0.252,0.299,0.338,0.637,0.281,55.589
김동한,0.241,0.288,0.344,0.633,0.28,53.182
정훈,0.272,0.355,0.403,0.758,0.34,94.502
번즈,0.28,0.34,0.508,0.848,0.362,107.533
나경민,0.256,0.356,0.313,0.669,0.315,76.917
김문호,0.272,0.354,0.367,0.721,0.328,87.378
민병헌,0.291,0.352,0.415,0.768,0.343,98.719
손아섭,0.322,0.401,0.482,0.883,0.396,132.554
조홍석,0.234,0.332,0.286,0.618,0.293,64.967
전준우,0.289,0.358,0.456,0.814,0.363,109.978
